bioguideId,district,partyName,state,chamber,startYear,endYear,name
A000369,2.0,Republican,Nevada,House of Representatives,2011,0,"Amodei, Mark E."
C001067,9.0,Democratic,New York,House of Representatives,2007,0,"Clarke, Yvette D."
S001172,3.0,Republican,Nebraska,House of Representatives,2007,0,"Smith, Adrian"
T000468,1.0,Democratic,Nevada,House of Representatives,2013,0,"Titus, Dina"
P000034,6.0,Democratic,New Jersey,House of Representatives,1987,0,"Pallone, Frank"
P000096,9.0,Democratic,New Jersey,House of Representatives,1997,0,"Pascrell, Bill"
M001137,5.0,Democratic,New York,House of Representatives,1997,0,"Meeks, Gregory W."
V000081,7.0,Democratic,New York,House of Representatives,1993,0,"Velázquez, Nydia M."
S000522,4.0,Republican,New Jersey,House of Representatives,1981,0,"Smith, Christopher H."
N000002,12.0,Democratic,New York,House of Representatives,1991,0,"Nadler, Jerrold"
M001156,10.0,Republican,North Carolina,House of Representatives,2005,0,"McHenry, Patrick T."
F000450,5.0,Republican,North Carolina,House of Representatives,2005,0,"Foxx, Virginia"
T000488,13.0,Democratic,Michigan,House of Representatives,2023,0,"Thanedar, Shri"
S001221,3.0,Democratic,Michigan,House of Representatives,2023,0,"Scholten, Hillary J."
J000307,10.0,Republican,Michigan,House of Representatives,2023,0,"James, John"
I000058,4.0,Democratic,Maryland,House of Representatives,2023,0,"Ivey, Glenn"
F000477,4.0,Democratic,North Carolina,House of Representatives,2023,0,"Foushee, Valerie P."
E000235,4.0,Republican,Mississippi,House of Representatives,2023,0,"Ezell, Mike"
D000230,1.0,Democratic,North Carolina,House of Representatives,2023,0,"Davis, Donald G."
B001316,7.0,Republican,Missouri,House of Representatives,2023,0,"Burlison, Eric"
A000379,4.0,Republican,Missouri,House of Representatives,2023,0,"Alford, Mark"
F000475,1.0,Republican,Minnesota,House of Representatives,2022,0,"Finstad, Brad"
R000305,2.0,Democratic,North Carolina,House of Representatives,2021,0,"Ross, Deborah K."
R000103,2.0,Republican,Montana,House of Representatives,2021,0,"Rosendale, Matthew M."
M001136,9.0,Republican,Michigan,House of Representatives,2021,0,"McClain, Lisa C."
F000470,7.0,Republican,Minnesota,House of Representatives,2021,0,"Fischbach, Michelle"
B001224,1.0,Democratic,Missouri,House of Representatives,2021,0,"Bush, Cori"
A000148,4.0,Democratic,Massachusetts,House of Representatives,2021,0,"Auchincloss, Jake"
M001210,3.0,Republican,North Carolina,House of Representatives,2019,0,"Murphy, Gregory F."
G000592,2.0,Democratic,Maine,House of Representatives,2019,0,"Golden, Jared F."
G000591,3.0,Republican,Mississippi,House of Representatives,2019,0,"Guest, Michael"
S001212,8.0,Republican,Minnesota,House of Representatives,2019,0,"Stauber, Pete"
O000173,5.0,Democratic,Minnesota,House of Representatives,2019,0,"Omar, Ilhan"
P000616,3.0,Democratic,Minnesota,House of Representatives,2019,0,"Phillips, Dean"
C001119,2.0,Democratic,Minnesota,House of Representatives,2019,0,"Craig, Angie"
T000481,12.0,Democratic,Michigan,House of Representatives,2019,0,"Tlaib, Rashida"
S001215,11.0,Democratic,Michigan,House of Representatives,2019,0,"Stevens, Haley M."
S001208,7.0,Democratic,Michigan,House of Representatives,2019,0,"Slotkin, Elissa"
T000483,6.0,Democratic,Maryland,House of Representatives,2019,0,"Trone, David J."
P000617,7.0,Democratic,Massachusetts,House of Representatives,2019,0,"Pressley, Ayanna"
T000482,3.0,Democratic,Massachusetts,House of Representatives,2019,0,"Trahan, Lori"
B001301,1.0,Republican,Michigan,House of Representatives,2017,0,"Bergman, Jack"
R000606,8.0,Democratic,Maryland,House of Representatives,2017,0,"Raskin, Jamie"
K000388,1.0,Republican,Mississippi,House of Representatives,2015,0,"Kelly, Trent"
Z000018,1.0,Republican,Montana,House of Representatives,2023,0,"Zinke, Ryan K."
E000294,6.0,Republican,Minnesota,House of Representatives,2015,0,"Emmer, Tom"
D000624,6.0,Democratic,Michigan,House of Representatives,2015,0,"Dingell, Debbie"
M001194,2.0,Republican,Michigan,House of Representatives,2015,0,"Moolenaar, John R."
M001196,6.0,Democratic,Massachusetts,House of Representatives,2015,0,"Moulton, Seth"
C001101,5.0,Democratic,Massachusetts,House of Representatives,2013,0,"Clark, Katherine M."
W000812,2.0,Republican,Missouri,House of Representatives,2013,0,"Wagner, Ann"
K000380,8.0,Democratic,Michigan,House of Representatives,2013,0,"Kildee, Daniel T."
S001195,8.0,Republican,Missouri,House of Representatives,2013,0,"Smith, Jason"
H001058,4.0,Republican,Michigan,House of Representatives,2011,0,"Huizenga, Bill"
H001052,1.0,Republican,Maryland,House of Representatives,2011,0,"Harris, Andy"
K000375,9.0,Democratic,Massachusetts,House of Representatives,2011,0,"Keating, William R."
S001177,,Democratic,Northern Mariana Islands,House of Representatives,2009,0,"Sablan, Gregorio Kilili Camacho"
W000798,5.0,Republican,Michigan,House of Representatives,2011,0,"Walberg, Tim"
S001168,3.0,Democratic,Maryland,House of Representatives,2007,0,"Sarbanes, John P."
L000569,3.0,Republican,Missouri,House of Representatives,2009,0,"Luetkemeyer, Blaine"
P000597,1.0,Democratic,Maine,House of Representatives,2009,0,"Pingree, Chellie"
M000312,2.0,Democratic,Massachusetts,House of Representatives,1997,0,"McGovern, James P."
T000193,2.0,Democratic,Mississippi,House of Representatives,1993,0,"Thompson, Bennie G."
N000015,1.0,Democratic,Massachusetts,House of Representatives,1989,0,"Neal, Richard E."
M000687,7.0,Democratic,Maryland,House of Representatives,2020,0,"Mfume, Kweisi"
C001061,5.0,Democratic,Missouri,House of Representatives,2005,0,"Cleaver, Emanuel"
R000576,2.0,Democratic,Maryland,House of Representatives,2003,0,"Ruppersberger, C. A. Dutch"
L000562,8.0,Democratic,Massachusetts,House of Representatives,2001,0,"Lynch, Stephen F."
G000546,6.0,Republican,Missouri,House of Representatives,2001,0,"Graves, Sam"
M001143,4.0,Democratic,Minnesota,House of Representatives,2001,0,"McCollum, Betty"
H000874,5.0,Democratic,Maryland,House of Representatives,1981,0,"Hoyer, Steny H."
T000487,2.0,Democratic,Hawaii,House of Representatives,2023,0,"Tokuda, Jill N."
S001225,17.0,Democratic,Illinois,House of Representatives,2023,0,"Sorensen, Eric"
R000617,3.0,Democratic,Illinois,House of Representatives,2023,0,"Ramirez, Delia C."
N000193,3.0,Republican,Iowa,House of Representatives,2023,0,"Nunn, Zachary"
M001219,,Republican,Guam,House of Representatives,2023,0,"Moylan, James C."
M001220,3.0,Democratic,Kentucky,House of Representatives,2023,0,"McGarvey, Morgan"
M001218,6.0,Republican,Georgia,House of Representatives,2023,0,"McCormick, Richard"
J000309,1.0,Democratic,Illinois,House of Representatives,2023,0,"Jackson, Jonathan L."
H001093,9.0,Republican,Indiana,House of Representatives,2023,0,"Houchin, Erin"
C001129,10.0,Republican,Georgia,House of Representatives,2023,0,"Collins, Mike"
B001315,13.0,Democratic,Illinois,House of Representatives,2023,0,"Budzinski, Nikki"
Y000067,2.0,Republican,Indiana,House of Representatives,2022,0,"Yakym, Rudy"
C001125,2.0,Democratic,Louisiana,House of Representatives,2021,0,"Carter, Troy A."
L000595,5.0,Republican,Louisiana,House of Representatives,2021,0,"Letlow, Julia"
S000929,5.0,Republican,Indiana,House of Representatives,2021,0,"Spartz, Victoria"
M001215,1.0,Republican,Iowa,House of Representatives,2021,0,"Miller-Meeks, Mariannette"
M001214,1.0,Democratic,Indiana,House of Representatives,2021,0,"Mrvan, Frank J."
M001211,15.0,Republican,Illinois,House of Representatives,2021,0,"Miller, Mary E."
M000871,1.0,Republican,Kansas,House of Representatives,2021,0,"Mann, Tracey"
L000266,2.0,Republican,Kansas,House of Representatives,2021,0,"LaTurner, Jake"
