bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2021-08-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2473?format=json
I000024,117,2021-08-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2480?format=json
I000024,117,2021-09-14,2021-09-14,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",2737,{'name': 'Education'},Constitution education Is Valuable In Community Schools Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2737?format=json
I000024,117,2021-07-22,2021-07-22,Read twice and referred to the Committee on Finance.,2453,{'name': 'Transportation and Public Works'},PLANE Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2453?format=json
I000024,117,2021-07-22,2021-07-22,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",2459,{'name': 'Transportation and Public Works'},HANGARS Act,S,https://api.congress.gov/v3/bill/117/s/2459?format=json
I000024,117,2021-08-09,2021-08-09,Referred to the Committee on Foreign Relations. (text: CR S6112),344,{'name': 'International Affairs'},A resolution expressing support for the State of Israel joining the African Union under observer status.,SRES,https://api.congress.gov/v3/bill/117/sres/344?format=json
I000024,116,2020-07-02,2020-07-02,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",4156,{'name': 'Agriculture and Food'},RELIEF for Producers Act of 2020,S,https://api.congress.gov/v3/bill/116/s/4156?format=json
I000024,116,2019-10-29,2019-11-12,Indefinitely postponed by Senate by Unanimous Consent.,2731,{'name': 'Armed Forces and National Security'},Essential National Security Authorities Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/2731?format=json
I000024,116,2019-11-12,2019-11-13,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 305.,2840,{'name': 'Armed Forces and National Security'},Essential National Security Authorities Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/2840?format=json
I000024,117,2021-01-28,2021-01-28,Read twice and referred to the Committee on the Judiciary.,75,{'name': 'Crime and Law Enforcement'},Protecting Individuals with Down Syndrome Act,S,https://api.congress.gov/v3/bill/117/s/75?format=json
I000024,117,2021-06-24,2021-07-20,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent. (text: 06/24/2021 CR S4784),291,{'name': 'Sports and Recreation'},A resolution congratulating the University of Oklahoma Sooners softball team on winning the 2021 National Collegiate Athletic Association Women's College World Series.,SRES,https://api.congress.gov/v3/bill/117/sres/291?format=json
