bioguideId	congress	type	number	introducedDate	actionDate	PolicyArea_name	Latest_Action_text	url	congress_type_number	title		
t000162	107	S	301	2001-02-08	2001-02-08	Environmental Protection	Read twice and referred to the Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/107/s/301?format=json	107_S_301	State and Local Government Participation Act of 2001		
t000162	106	S	352	1999-02-03	1999-02-03	Environmental Protection	Read twice and referred to the Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/106/s/352?format=json	106_S_352	State and Local Government Participation Act of 1999		
t000162	101	HR	4220	1990-03-07	1990-03-14	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/101/hr/4220?format=json	101_HR_4220	To repeal the Asbestos Hazard Emergency Response Act of 1986 and amendments made by such Act, and for other purposes.		
h001041	113	S	1363	2013-07-25	2013-07-25	Environmental Protection	Read twice and referred to the Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/113/s/1363?format=json	113_S_1363	Energy Consumers Relief Act of 2013		
s001113	103	HR	3529	1993-11-18	1993-11-22	Environmental Protection	Referred to the Subcommittee on Technology, Environment and Aviation.	https://api.congress.gov/v3/bill/103/hr/3529?format=json	103_HR_3529	Environmental Excellence Recognition Act of 1993		
s001113	103	HR	3531	1993-11-18	1993-11-22	Environmental Protection	Referred to the Subcommittee on Technology, Environment and Aviation.	https://api.congress.gov/v3/bill/103/hr/3531?format=json	103_HR_3531	Greener Government Act of 1993		
s001113	103	HR	3530	1993-11-18	1993-11-29	Environmental Protection	Referred to the Subcommittee on Technology, Environment and Aviation.	https://api.congress.gov/v3/bill/103/hr/3530?format=json	103_HR_3530	Environmental Technology Demonstration Act of 1993		
w000792	110	HR	6325	2008-06-19	2008-06-19	Environmental Protection	Referred to the House Committee on Energy and Commerce.	https://api.congress.gov/v3/bill/110/hr/6325?format=json	110_HR_6325	Packaging Reduction Act of 2008		
w000792	110	HR	6218	2008-06-09	2008-06-12	Environmental Protection	Referred to the Subcommittee on Energy and Environment.	https://api.congress.gov/v3/bill/110/hr/6218?format=json	110_HR_6218	To provide for loan guarantees for retrofitting high-performance green buildings.		
r000603	118	HR	7023	2024-01-17	2024-03-22	Environmental Protection	Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/118/hr/7023?format=json	118_HR_7023	Creating Confidence in Clean Water Permitting Act		
r000603	118	HR	5089	2023-07-28	2024-01-31	Environmental Protection	Ordered to be Reported.	https://api.congress.gov/v3/bill/118/hr/5089?format=json	118_HR_5089	Reducing Regulatory Burdens Act of 2023		
r000603	118	HR	1152	2023-02-24	2023-03-17	Environmental Protection	Placed on the Union Calendar, Calendar No. 5.	https://api.congress.gov/v3/bill/118/hr/1152?format=json	118_HR_1152	Water Quality Certification and Energy Project Improvement Act of 2023		
r000603	117	HR	7771	2022-05-13	2022-05-16	Environmental Protection	Referred to the Subcommittee on Water Resources and Environment.	https://api.congress.gov/v3/bill/117/hr/7771?format=json	117_HR_7771	To require the Secretary of the Army and the Administrator of the Environmental Protection Agency to conduct a study analyzing the cost to permit applicants and permit holders of complying with sections 402 and 404 of the Federal Water Pollution Control Act, and for other purposes.		
r000603	117	HR	5849	2021-11-03	2021-11-04	Environmental Protection	Referred to the Subcommittee on Water Resources and Environment.	https://api.congress.gov/v3/bill/117/hr/5849?format=json	117_HR_5849	Defense of Environment and Property Act of 2021		
r000603	117	HR	3218	2021-05-13	2021-05-14	Environmental Protection	Referred to the Subcommittee on Water Resources and Environment.	https://api.congress.gov/v3/bill/117/hr/3218?format=json	117_HR_3218	Wastewater Infrastructure Improvement Act of 2021		
r000603	116	HR	1281	2019-02-14	2019-02-15	Environmental Protection	Referred to the Subcommittee on Environment and Climate Change.	https://api.congress.gov/v3/bill/116/hr/1281?format=json	116_HR_1281	Stop EPA Overregulation of Rural Americans Act		
r000603	115	HR	694	2017-01-24	2017-01-24	Environmental Protection	Referred to the House Committee on Energy and Commerce.	https://api.congress.gov/v3/bill/115/hr/694?format=json	115_HR_694	Stop EPA Overregulation of Rural Americans Act		
r000603	114	HR	2599	2015-06-01	2015-08-18	Environmental Protection	Referred to the Subcommittee on Environment.	https://api.congress.gov/v3/bill/114/hr/2599?format=json	114_HR_2599	Don't Ignore the Will of the American People Act		
r000603	114	HR	1986	2015-04-23	2015-04-24	Environmental Protection	Referred to the Subcommittee on Energy and Power.	https://api.congress.gov/v3/bill/114/hr/1986?format=json	114_HR_1986	Stop EPA Overregulation of Rural Americans		
w000268	100	HR	4468	1988-04-26	1988-05-09	Environmental Protection	Referred to Subcommittee on Transportation, Tourism, and Hazardous Materials.	https://api.congress.gov/v3/bill/100/hr/4468?format=json	100_HR_4468	Recycling Information Clearinghouse Act of 1988		
w000268	101	HR	2787	1989-06-28	1989-07-07	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/101/hr/2787?format=json	101_HR_2787	Innocent Landowner Defense Amendment of 1989		
w000268	101	HR	1652	1989-03-23	1989-04-10	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/101/hr/1652?format=json	101_HR_1652	Recycling Information Clearinghouse Act of 1989		
w000268	102	HR	1217	1991-02-28	1991-03-11	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/102/hr/1217?format=json	102_HR_1217	Innocent Landowner Defense Amendment of 1991		
w000268	102	HR	755	1991-01-30	1991-02-11	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/102/hr/755?format=json	102_HR_755	Recycling Information Clearinghouse Act of 1991		
w000268	103	HR	3982	1994-03-08	1994-09-21	Environmental Protection	Sponsor introductory remarks on measure. (CR H9422-9423)	https://api.congress.gov/v3/bill/103/hr/3982?format=json	103_HR_3982	Ocean Radioactive Dumping Ban Act of 1994		
w000268	103	HR	570	1993-01-25	1993-02-24	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/103/hr/570?format=json	103_HR_570	Innocent Landowner Defense Amendment of 1993		
w000268	103	HR	571	1993-01-25	1993-02-24	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/103/hr/571?format=json	103_HR_571	Recycling Information Clearinghouse Act of 1993		
w000268	104	HR	1285	1995-03-21	1995-04-10	Environmental Protection	Referred to the Subcommittee on Commerce, Trade, and Hazardous Materials.	https://api.congress.gov/v3/bill/104/hr/1285?format=json	104_HR_1285	Innocent Landowner Defense Amendment of 1995		
w000268	104	HR	1154	1995-03-07	1995-03-20	Environmental Protection	Referred to the Subcommittee on Coast Guard and Maritime Transportation.	https://api.congress.gov/v3/bill/104/hr/1154?format=json	104_HR_1154	Ocean Radioactive Dumping Ban Act of 1995		
w000268	104	HR	1153	1995-03-07	1995-03-20	Environmental Protection	Referred to the Subcommittee Commerce, Trade, and Hazardous Materials.	https://api.congress.gov/v3/bill/104/hr/1153?format=json	104_HR_1153	Recycling Information Clearinghouse Act of 1995		
f000239	96	HCONRES	393	1980-07-28	1980-09-30	Environmental Protection	Measure passed Senate.	https://api.congress.gov/v3/bill/96/hconres/393?format=json	96_HCONRES_393	A concurrent resolution extending to the Forest Service, U.S. Department of Agriculture, the appreciation of the Congress on the 75th Anniversary of the founding of the Agency.		
f000239	93	HR	7802	1973-05-15	1973-05-15	Environmental Protection	Referred to House Committee on Agriculture.	https://api.congress.gov/v3/bill/93/hr/7802?format=json	93_HR_7802	Columbia-Snake-Palouse Conservation Act		
f000239	94	HR	12944	1976-04-01	1976-08-13	Environmental Protection	Vetoed by President, H. Doc. 94-585.	https://api.congress.gov/v3/bill/94/hr/12944?format=json	94_HR_12944	A bill to extend the Federal Insecticide, Fungicide, and Rodenticide Act, as amended, for six months.		
f000239	94	HR	8841	1975-07-23	1975-11-28	Environmental Protection	Public law 94-140.	https://api.congress.gov/v3/bill/94/hr/8841?format=json	94_HR_8841	An Act to extend the Federal Insecticide, Fungicide, and Rodenticide Act, as amended, and for other purposes.		
f000239	94	HR	6387	1975-04-24	1975-07-02	Environmental Protection	Public law 94-51.	https://api.congress.gov/v3/bill/94/hr/6387?format=json	94_HR_6387	An Act to extend the Federal Insecticide, Fungicide, and Rodenticide Act, as amended, for three months.		
m000684	101	HR	5681	1990-09-19	1990-09-19	Environmental Protection	Referred to the House Committee on Science, Space and Technology.	https://api.congress.gov/v3/bill/101/hr/5681?format=json	101_HR_5681	Environmental Research Geographical Location Information Act		
d000032	118	HR	873	2023-02-08	2023-02-17	Environmental Protection	Referred to the Subcommittee on Environment, Manufacturing, and Critical Materials.	https://api.congress.gov/v3/bill/118/hr/873?format=json	118_HR_873	Water Quality and Environmental Innovation Act		
d000032	118	HR	325	2023-01-12	2023-02-21	Environmental Protection	Referred to the Subcommittee on Water, Wildlife, and Fisheries.	https://api.congress.gov/v3/bill/118/hr/325?format=json	118_HR_325	Harmful Algal Bloom Essential Forecasting Act		
d000032	117	HR	1954	2021-03-17	2021-05-17	Environmental Protection	Referred to the Subcommittee on Water, Oceans, and Wildlife.	https://api.congress.gov/v3/bill/117/hr/1954?format=json	117_HR_1954	Harmful Algal Bloom Essential Forecasting Act		
a000009	96	HR	5206	1979-09-07	1979-09-07	Environmental Protection	Referred to House Committee on Interstate and Foreign Commerce.	https://api.congress.gov/v3/bill/96/hr/5206?format=json	96_HR_5206	A bill to amend the Clean Air Act to make certain modifications in provisions relating to automobile emission control devices and fuel additives, and for other purposes.		
a000377	118	HJRES	150	2024-05-17	2024-05-17	Environmental Protection	Referred to the House Committee on Energy and Commerce.	https://api.congress.gov/v3/bill/118/hjres/150?format=json	118_HJRES_150	Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to "National Emission Standards for Hazardous Air Pollutants: Coal- and Oil-Fired Electric Utility Steam Generating Units Review of the Residual Risk and Technology Review".		
a000377	116	HR	3671	2019-07-10	2019-07-25	Environmental Protection	Referred to the Subcommittee on Energy and Mineral Resources.	https://api.congress.gov/v3/bill/116/hr/3671?format=json	116_HR_3671	Federal Permitting Reform and Jobs Act		
r000592	115	HR	6668	2018-08-10	2018-08-10	Environmental Protection	Referred to the House Committee on Natural Resources.	https://api.congress.gov/v3/bill/115/hr/6668?format=json	115_HR_6668	MUSSELS Act		
l000551	117	HRES	29	2021-01-11	2021-01-11	Environmental Protection	Referred to the House Committee on Education and Labor.	https://api.congress.gov/v3/bill/117/hres/29?format=json	117_HRES_29	Supporting the teaching of climate change in schools.		
l000551	117	HR	260	2021-01-11	2021-02-02	Environmental Protection	Referred to the Subcommittee on Environment and Climate Change.	https://api.congress.gov/v3/bill/117/hr/260?format=json	117_HR_260	Women and Climate Change Act of 2021		
l000551	116	HRES	574	2019-09-20	2019-09-20	Environmental Protection	Referred to the House Committee on Education and Labor.	https://api.congress.gov/v3/bill/116/hres/574?format=json	116_HRES_574	Supporting the teaching of climate change in schools.		
l000551	116	HR	1880	2019-03-26	2019-03-27	Environmental Protection	Referred to the Subcommittee on Environment and Climate Change.	https://api.congress.gov/v3/bill/116/hr/1880?format=json	116_HR_1880	Women and Climate Change Act of 2019		
l000551	113	HCONRES	36	2013-04-26	2013-05-03	Environmental Protection	Referred to the Subcommittee on Energy and Power.	https://api.congress.gov/v3/bill/113/hconres/36?format=json	113_HCONRES_36	Recognizing the disparate impact of climate change on women and the efforts of women globally to address climate change.		
g000553	117	HR	4253	2021-06-30	2021-07-01	Environmental Protection	Referred to the Subcommittee on Environment and Climate Change.	https://api.congress.gov/v3/bill/117/hr/4253?format=json	117_HR_4253	To require the Administrator of the Environmental Protection Agency to promulgate a national primary drinking water regulation for chromium-6, and for other purposes.		
g000553	116	HRES	19	2019-01-03	2019-01-25	Environmental Protection	Referred to the Subcommittee on Environment and Climate Change.	https://api.congress.gov/v3/bill/116/hres/19?format=json	116_HRES_19	Expressing concern regarding the prevalence of hexavalent chromium in drinking water in the United States.		
g000553	115	HRES	147	2017-02-17	2017-02-24	Environmental Protection	Referred to the Subcommittee on Health.	https://api.congress.gov/v3/bill/115/hres/147?format=json	115_HRES_147	Expressing concern regarding the prevalence of hexavalent chromium in drinking water in the United States.		
p000326	102	HR	1405	1991-03-12	1991-03-25	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/102/hr/1405?format=json	102_HR_1405	To amend the Solid Waste Disposal Act to provide financial and technical assistance to State, regional, and local agencies for the development of markets for recovered resources.		
p000326	103	HR	3312	1993-10-19	1993-10-25	Environmental Protection	Executive Comment Requested from Interior.	https://api.congress.gov/v3/bill/103/hr/3312?format=json	103_HR_3312	To direct the Secretary of the Interior to revise a map relating to the Coastal Barrier Resources System.		
k000274	104	HR	3645	1996-06-13	1996-06-28	Environmental Protection	Referred to the Subcommittee on Early Childhood, Youth and Families.	https://api.congress.gov/v3/bill/104/hr/3645?format=json	104_HR_3645	National Environmental Education Amendments Act of 1996		
k000274	104	HR	2024	1995-07-12	1996-05-13	Environmental Protection	Became Public Law No: 104-142.	https://api.congress.gov/v3/bill/104/hr/2024?format=json	104_HR_2024	Mercury-Containing and Rechargeable Battery Management Act		
k000274	105	HR	3441	1998-03-11	1998-03-27	Environmental Protection	Referred to the Subcommittee on Early Childhood, Youth and Families.	https://api.congress.gov/v3/bill/105/hr/3441?format=json	105_HR_3441	National Environmental Education Amendments Act of 1998		
m000796	96	HR	4074	1979-05-14	1979-05-14	Environmental Protection	Referred to House Committee on Interior and Insular Affairs.	https://api.congress.gov/v3/bill/96/hr/4074?format=json	96_HR_4074	New Jersey Radium Pollution Control Act of 1979		
m000796	96	HJRES	159	1979-01-24	1979-01-24	Environmental Protection	Referred to House Committee on Post Office and Civil Service.	https://api.congress.gov/v3/bill/96/hjres/159?format=json	96_HJRES_159	A joint resolution to authorize the President to proclaim the last Friday of April each year as "National Arbor Day".		
m000796	97	HR	1412	1981-01-28	1981-02-06	Environmental Protection	Referred to Subcommittee on Energy and the Environment.	https://api.congress.gov/v3/bill/97/hr/1412?format=json	97_HR_1412	New Jersey Radium Pollution Control Act of 1981		
s001144	102	HR	5579	1992-07-08	1992-07-20	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/102/hr/5579?format=json	102_HR_5579	Urban Environmental Initiative Act		
s001144	103	HR	1005	1993-02-18	1993-03-04	Environmental Protection	Referred to the Subcommittee on Water Resources and Environment.	https://api.congress.gov/v3/bill/103/hr/1005?format=json	103_HR_1005	Urban Environmental Initiative Act		
s001144	105	HR	1049	1997-03-12	1997-03-28	Environmental Protection	Referred to the Subcommittee on Finance and Hazardous Materials.	https://api.congress.gov/v3/bill/105/hr/1049?format=json	105_HR_1049	Brownfield Economic Revitalization Act of 1997		
h001016	106	S	1661	1999-09-29	1999-09-29	Environmental Protection	Read twice and referred to the Committee on Judiciary.	https://api.congress.gov/v3/bill/106/s/1661?format=json	106_S_1661	Environmental Protection Partnership Act		
h001016	111	S	3614	2010-07-19	2010-12-14	Environmental Protection	Placed on Senate Legislative Calendar under General Orders. Calendar No. 697.	https://api.congress.gov/v3/bill/111/s/3614?format=json	111_S_3614	Oil Spill Response Act		
n000189	118	HR	5504	2023-09-14	2023-10-25	Environmental Protection	Subcommittee Hearings Held	https://api.congress.gov/v3/bill/118/hr/5504?format=json	118_HR_5504	To require the Director of the United States Fish and Wildlife Service and the Assistant Administrator for Fisheries of the National Oceanic and Atmospheric Administration to withdraw proposed rules relating to the Endangered Species Act of 1973, and for other purposes.		
n000189	117	HR	5740	2021-10-26	2021-11-04	Environmental Protection	Referred to the Subcommittee on Water, Oceans, and Wildlife.	https://api.congress.gov/v3/bill/117/hr/5740?format=json	117_HR_5740	To codify certain regulations relating to endangered species and threatened species listing and critical habitat designation.		
n000189	116	HR	5588	2020-01-13	2020-01-17	Environmental Protection	Referred to the Subcommittee on Water, Oceans, and Wildlife.	https://api.congress.gov/v3/bill/116/hr/5588?format=json	116_HR_5588	WHOLE Act of 2020		
n000189	115	HR	1274	2017-03-01	2018-02-15	Environmental Protection	Placed on the Union Calendar, Calendar No. 422.	https://api.congress.gov/v3/bill/115/hr/1274?format=json	115_HR_1274	State, Tribal, and Local Species Transparency and Recovery Act		
n000189	115	HR	1273	2017-03-01	2017-03-01	Environmental Protection	Referred to the House Committee on Natural Resources.	https://api.congress.gov/v3/bill/115/hr/1273?format=json	115_HR_1273	21st Century Endangered Species Transparency Act		
n000189	115	HR	848	2017-02-03	2017-02-10	Environmental Protection	Referred to the Subcommittee on Environment.	https://api.congress.gov/v3/bill/115/hr/848?format=json	115_HR_848	Farm Regulatory Certainty Act		
