bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2021-05-17,blah,blha,217,blah,"A resolution designating the week of May 16 through May 22, 2021, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/117/sres/217?format=json
I000024,117,2021-05-28,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2108?format=json
I000024,117,2021-05-24,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/1932?format=json
I000024,117,2021-05-19,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/1523?format=json
I000024,117,2021-05-20,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/1902?format=json
I000024,117,2021-04-15,blah,blha,1149,blah,A bill to amend the Internal Revenue Code of 1986 to permanently extend the depreciation rules for property used predominantly within an Indian reservation.,S,https://api.congress.gov/v3/bill/117/s/1149?format=json
I000024,117,2021-04-22,blah,blha,171,blah,A resolution expressing the sense of the Senate that the International Olympic Committee should correct the Olympic records for Jim Thorpe for his unprecedented accomplishments during the 1912 Olympic Games.,SRES,https://api.congress.gov/v3/bill/117/sres/171?format=json
I000024,116,2019-01-29,blah,blha,249,blah,"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",S,https://api.congress.gov/v3/bill/116/s/249?format=json
I000024,116,2020-09-17,blah,blha,704,blah,A resolution honoring the accomplishments of General Thomas P. Stafford and recognizing his contribution to the United States Space Program.,SRES,https://api.congress.gov/v3/bill/116/sres/704?format=json
I000024,117,2021-02-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/514?format=json
I000024,117,2021-02-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/786?format=json
I000024,117,2021-02-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/785?format=json
I000024,117,2021-02-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/475?format=json
I000024,116,2019-11-19,blah,blha,2898,blah,CONTRACT Act of 2019,S,https://api.congress.gov/v3/bill/116/s/2898?format=json
I000024,116,2019-10-17,blah,blha,2620,blah,GROWTH Act,S,https://api.congress.gov/v3/bill/116/s/2620?format=json
I000024,116,2019-03-06,blah,blha,678,blah,English Language Unity Act of 2019,S,https://api.congress.gov/v3/bill/116/s/678?format=json
I000024,116,2019-07-31,blah,blha,2377,blah,Medicaid Accountability Act,S,https://api.congress.gov/v3/bill/116/s/2377?format=json
I000024,116,2020-11-16,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2682?format=json
I000024,116,2020-03-09,blah,blha,3419,blah,SALE Act of 2020,S,https://api.congress.gov/v3/bill/116/s/3419?format=json
I000024,116,2020-09-23,blah,blha,713,blah,"A resolution expressing the sense of the Senate that the August 13, 2020, announcement of the establishment of full diplomatic relations between the State of Israel and the United Arab Emirates and the September 11, 2020, announcement of the establishment of full diplomatic relations between the State of Israel and the Kingdom of Bahrain is a historic achievement.",SRES,https://api.congress.gov/v3/bill/116/sres/713?format=json
I000024,116,2019-10-30,blah,blha,2745,blah,Down Syndrome Discrimination by Abortion Prohibition Act,S,https://api.congress.gov/v3/bill/116/s/2745?format=json
I000024,116,2019-12-12,blah,blha,3043,blah,Promoting Aviation Regulations for Technical Training (PARTT) 147 Act of 2019,S,https://api.congress.gov/v3/bill/116/s/3043?format=json
I000024,116,2020-05-19,blah,blha,586,blah,"A resolution designating the week of May 17 through May 23, 2020, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/116/sres/586?format=json
I000024,116,2020-08-06,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2598?format=json
I000024,116,2019-01-08,blah,blha,53,blah,WALL Act of 2019,S,https://api.congress.gov/v3/bill/116/s/53?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2301?format=json
I000024,116,2020-07-01,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2411?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2204?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2248?format=json
I000024,116,2020-07-01,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2418?format=json
I000024,116,2020-06-30,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2326?format=json
I000024,116,2020-06-30,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2348?format=json
I000024,116,2020-06-30,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2379?format=json
I000024,116,2020-06-30,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2333?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2312?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2300?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2246?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2247?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2240?format=json
I000024,116,2020-06-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2239?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2166?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1879?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1840?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1839?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1838?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1841?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1842?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/1843?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2203?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2061?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2148?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2128?format=json
I000024,116,2020-06-25,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/116/samdt/2082?format=json
I000024,116,2020-05-19,blah,blha,583,blah,A resolution honoring the life and achievements of former United States Senator Thomas Allen Coburn and expressing condolences to the family of Thomas Allen Coburn on his passing.,SRES,https://api.congress.gov/v3/bill/116/sres/583?format=json
I000024,115,2018-03-22,blah,blha,2622,blah,"A bill to require directors of medical facilities of the Department of Veterans Affairs to submit plans to the Secretary of Veterans Affairs on how to improve such facilities, and for other purposes.",S,https://api.congress.gov/v3/bill/115/s/2622?format=json
