551,K000389,116,2019-07-10,2019-07-11,Referred to the Subcommittee on Communications and Technology.,3676,"Science, Technology, Communications",Measuring the Economic Impact of Broadband Act of 2019,HR,https://api.congress.gov/v3/bill/116/hr/3676?format=json
553,K000389,116,2019-05-08,2019-09-26,Forwarded by Subcommittee to Full Committee by Voice Vote .,2591,Environmental Protection,PFAS Waste Incineration Ban Act of 2019,HR,https://api.congress.gov/v3/bill/116/hr/2591?format=json
567,K000389,115,2018-02-26,2018-03-02,Referred to the Subcommittee on Communications and Technology.,5093,"Science, Technology, Communications",Measuring the Economic Impact of Broadband Act of 2018,HR,https://api.congress.gov/v3/bill/115/hr/5093?format=json
579,C001106,115,2018-01-17,2018-01-19,Referred to the Subcommittee on Communications and Technology.,4813,"Science, Technology, Communications",WIFI STUDy Act,HR,https://api.congress.gov/v3/bill/115/hr/4813?format=json
583,C001106,115,2017-07-26,2017-07-28,Referred to the Subcommittee on Digital Commerce and Consumer Protection.,3411,Transportation and Public Works,"To establish in the National Highway Traffic Safety Administration an Automated Driving System Cybersecurity Advisory Council to make recommendations regarding cybersecurity for the testing, deplo...",HR,https://api.congress.gov/v3/bill/115/hr/3411?format=json
614,T000162,109,2006-12-05,2006-12-05,Read twice and referred to the Committee on Energy and Natural Resources.,4076,Energy,A bill to amend the Energy Policy Act of 2005 to provide an alternate sulfur dioxide removal measurement for certain coal gasification project goals.,S,https://api.congress.gov/v3/bill/109/s/4076?format=json
617,T000162,109,2006-05-05,2006-07-27,Sponsor introductory remarks on measure. (CR S8353),2755,Energy,Energy PRICE Act,S,https://api.congress.gov/v3/bill/109/s/2755?format=json
620,T000162,109,2006-04-07,2006-04-24,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 413.,2603,Public Lands and Natural Resources,Soda Ash Royalty Reduction Act of 2006,S,https://api.congress.gov/v3/bill/109/s/2603?format=json
622,T000162,109,2006-03-13,2006-12-08,Held at the desk.,2403,Public Lands and Natural Resources,Grand Teton National Park Extension Act of 2006,S,https://api.congress.gov/v3/bill/109/s/2403?format=json
623,T000162,109,2006-03-06,2006-12-08,Held at the desk.,2373,Public Lands and Natural Resources,City of Green River Land Conveyance Act,S,https://api.congress.gov/v3/bill/109/s/2373?format=json
624,T000162,109,2005-09-14,2005-09-27,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 109-256.,1701,Public Lands and Natural Resources,Abandoned Mine Land Reclamation Reform Act of 2005,S,https://api.congress.gov/v3/bill/109/s/1701?format=json
628,T000162,109,2005-04-15,2005-04-15,Read twice and referred to the Committee on Energy and Natural Resources.,814,Public Lands and Natural Resources,Coal Leasing Amendments Act of 2005,S,https://api.congress.gov/v3/bill/109/s/814?format=json
630,T000162,109,2005-03-10,2006-05-05,Became Public Law No: 109-219.,592,Water Resources Development,Glendo Unit of the Missouri River Basin Project Contract Extension Act of 2005,S,https://api.congress.gov/v3/bill/109/s/592?format=json
631,T000162,109,2005-03-10,2005-03-10,Read twice and referred to the Committee on Energy and Natural Resources.,591,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/109/s/591?format=json
632,T000162,109,2005-03-10,2005-03-10,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S2491-2494),596,Energy,Electric Transmission and Reliability Enhancement Act of 2005,S,https://api.congress.gov/v3/bill/109/s/596?format=json
637,T000162,109,2005-02-01,2005-08-02,Referred to the Subcommittee on National Parks.,243,Public Lands and Natural Resources,National Heritage Areas Partnership Act,S,https://api.congress.gov/v3/bill/109/s/243?format=json
638,T000162,109,2005-02-01,2006-10-05,Became Public Law No: 109-298.,244,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/109/s/244?format=json
