bioguideid,congress,introduceddate,actiondate,text,number,policyArea name,title,type,url
l000506,94,1975-01-14,1975-01-14,Referred to House Committee on Interior and Insular Affairs.,45,,"A bill relating to lands in the Middle Rio Grande Conservancy District, N. Mex.",HR,https://api.congress.gov/v3/bill/94/hr/45?format=json
l000506,94,1975-09-09,1975-09-09,Referred to House Committee on the Judiciary.,646,,"Joint resolution proposing an amendment to the Constitution of the United States to provide that appropriations made by the United States shall not exceed its revenues, except in time of war or national emergency.",HJRES,https://api.congress.gov/v3/bill/94/hjres/646?format=json
l000506,94,1975-03-04,1975-03-04,Referred to House Committee on the Judiciary.,272,,Joint resolution proposing an amendment to the Constitution of the United States relative to Federal elections and Federal personal income tax.,HJRES,https://api.congress.gov/v3/bill/94/hjres/272?format=json
l000506,94,1975-03-04,1975-03-04,Referred to House Committee on Post Office and Civil Service.,273,,Joint resolution authorizing the President to proclaim the second week of February in each year as National Vocational Education Week.,HJRES,https://api.congress.gov/v3/bill/94/hjres/273?format=json
l000506,94,1975-03-04,1975-03-04,Referred to House Committee on Post Office and Civil Service.,274,,Joint resolution to designate the stone commonly known as turquoise as the national gemstone of the United States.,HJRES,https://api.congress.gov/v3/bill/94/hjres/274?format=json
l000506,94,1975-03-04,1975-03-04,Referred to House Committee on the Judiciary.,271,,Joint resolution proposing an amendment to the Constitution of the United States relative to the balancing of the budget.,HJRES,https://api.congress.gov/v3/bill/94/hjres/271?format=json
l000506,94,1975-02-24,1975-02-24,Referred to House Committee on the Judiciary.,238,,"Joint resolution proposing an amendment to the Constitution of the United States guaranteeing the right to life to the unborn, the ill, the aged, or the incapacitated.",HJRES,https://api.congress.gov/v3/bill/94/hjres/238?format=json
l000506,94,1975-02-24,1975-02-24,Referred to House Committee on Post Office and Civil Service.,239,,Joint resolution designating the first Saturday in April of each year as National Brotherhood Day.,HJRES,https://api.congress.gov/v3/bill/94/hjres/239?format=json
l000506,94,1975-02-05,1975-02-05,Referred to House Committee on Interior and Insular Affairs.,198,,"Joint resolution authorizing the Secretary of the Interior to establish a memorial museum at Las Vegas, N. Mex., to commemorate the Rough Riders and related history of the Southwest.",HJRES,https://api.congress.gov/v3/bill/94/hjres/198?format=json
l000506,94,1975-03-04,1975-03-04,Referred to House Committee on House Administration.,273,,"Resolution providing for two additional student congressional interns for Members of the House of Representatives, the Resident Commissioner from Puerto Rico, and each delegate to the House.",HRES,https://api.congress.gov/v3/bill/94/hres/273?format=json
l000506,94,1975-05-05,1975-05-05,Referred to House Committee on Post Office and Civil Service.,265,,Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,HCONRES,https://api.congress.gov/v3/bill/94/hconres/265?format=json
l000506,94,1975-02-25,1975-02-25,Referred to House Committee on Foreign Affairs (Subsequently: International Relations).,150,,Concurrent resolution to collect overdue debts.,HCONRES,https://api.congress.gov/v3/bill/94/hconres/150?format=json
l000506,95,1978-09-14,1978-09-14,"Referred to House Committee on Banking, Finance and Urban Affairs.",14087,,"A bill to authorize the President of the United States to present on behalf of the Congress a specially struck gold medal to Ben Abruzzo, Maxie Anderson, and Larry Newman.",HR,https://api.congress.gov/v3/bill/95/hr/14087?format=json
l000506,95,1978-06-16,1978-06-16,Referred to House Committee on Interior and Insular Affairs.,13172,,"A bill to authorize, for public safety in the seventeen contiguous Western States and in the State of Hawaii, federal cost sharing in the elimination of hazards of open canals and drains by converting them to closed conduits or by installing safety fencing.",HR,https://api.congress.gov/v3/bill/95/hr/13172?format=json
l000506,95,1978-06-16,1978-06-16,Referred to House Committee on Interior and Insular Affairs.,13173,,"A bill to authorize, for public safety within the Bureau of Reclamation's Middle Rio Grande Project, New Mexico, federal cost sharing in the elimination of hazards of open canals and drains by converting them to closed conduits or by installing safety fencing.",HR,https://api.congress.gov/v3/bill/95/hr/13173?format=json
l000506,95,1978-06-12,1978-06-12,Referred to House Committee on Post Office and Civil Service.,13085,,"A bill to amend title 5, United States Code, to include Department of Energy couriers and security inspectors within the same civil service retirement provisions as law enforcement officers and firefighters.",HR,https://api.congress.gov/v3/bill/95/hr/13085?format=json
l000506,95,1978-05-15,1978-05-15,Referred to House Committee on Ways and Means.,12717,,"A bill to amend the Internal Revenue Code of 1954 to eliminate the adjusted gross income limitation on the credit for the elderly, to increase the amount of such credit, and for other purposes.",HR,https://api.congress.gov/v3/bill/95/hr/12717?format=json
l000506,95,1978-05-03,1978-05-03,Referred to House Committee on Interstate and Foreign Commerce.,12548,,A bill to amend section 330 of the Public Health Service Act to provide grants for developmental and demonstration projects relating to the provision of health services to medically underserved populations.,HR,https://api.congress.gov/v3/bill/95/hr/12548?format=json
l000506,95,1978-05-03,1978-05-03,Referred to House Committee on Ways and Means.,12549,,A bill to amend the Internal Revenue Code of 1954 to provide tax incentives for investment in small corporations doing research in the area of energy development and conservation.,HR,https://api.congress.gov/v3/bill/95/hr/12549?format=json
l000506,95,1978-04-11,1978-04-11,Referred to House Committee on Ways and Means.,12027,,A bill to continue the existing income tax treatment of nonqualified deferred compensation plans established by State and local governments and other employers.,HR,https://api.congress.gov/v3/bill/95/hr/12027?format=json
l000506,95,1978-04-06,1978-04-06,Referred to House Committee on Science and Technology.,11950,,Radioactive Waste Management Regulatory Reform Act,HR,https://api.congress.gov/v3/bill/95/hr/11950?format=json
l000506,95,1978-03-21,1978-03-21,Referred to House Committee on the Judiciary.,11707,,A bill for the relief of the heirs of Demetrio Madrid.,HR,https://api.congress.gov/v3/bill/95/hr/11707?format=json
l000506,95,1978-03-21,1978-03-21,Referred to House Committee on Interstate and Foreign Commerce.,11683,,A bill to provide for a $300 payment to an owner of a pre-1968 motor vehicle who has the vehicle scrapped.,HR,https://api.congress.gov/v3/bill/95/hr/11683?format=json
l000506,95,1978-03-21,1978-03-21,Referred to House Committee on the Judiciary.,11684,,A bill to compensate certain persons who hold invalid patents issued erroneously by the Department of the Interior.,HR,https://api.congress.gov/v3/bill/95/hr/11684?format=json
l000506,95,1978-02-22,1978-02-22,Referred to House Committee on Interior and Insular Affairs.,11067,,"A bill to provide for a study of the suitability and feasibility of designating the Vietnam Veterans Chapel, Eagle Nest, New Mexico, as a national memorial to the Vietnam veterans.",HR,https://api.congress.gov/v3/bill/95/hr/11067?format=json
l000506,95,1978-02-14,1978-02-14,Referred to House Committee on Post Office and Civil Service.,10925,,"A bill to amend title 5, United States Code, to include Department of Energy couriers and security inspectors within the same civil service retirement provisions as law enforcement officers and firefighters.",HR,https://api.congress.gov/v3/bill/95/hr/10925?format=json
l000506,95,1978-02-01,1978-10-03,"Measure laid on table in House, S. 553 passed in lieu.",10679,,"A bill to modify the boundary of the Cibola National Forest, and for other purposes.",HR,https://api.congress.gov/v3/bill/95/hr/10679?format=json
l000506,95,1978-01-25,1978-01-25,Referred to House Committee on the Judiciary.,10545,,"A bill to incorporate the American Ex-Prisoners of War, Incorporated.",HR,https://api.congress.gov/v3/bill/95/hr/10545?format=json
l000506,95,1978-01-19,1978-01-19,Referred to House Committee on Ways and Means.,10429,,"A bill to modify the restrictions contained in section 170(e) of the Internal Revenue Code in the case of certain contributions of literary, musical, or artistic composition, or similar property.",HR,https://api.congress.gov/v3/bill/95/hr/10429?format=json
l000506,95,1978-01-19,1978-01-19,Referred to House Committee on Interstate and Foreign Commerce.,10466,,"A bill to amend the Act of October 31, 1949 (63 Stat. 1049), to change the authority of the Surgeon General to make certain payments to Bernalillo County, New Mexico, for furnishing hospital care to certain Indians.",HR,https://api.congress.gov/v3/bill/95/hr/10466?format=json
l000506,95,1977-12-06,1978-10-03,"Measure laid on table in House, S. 2358 passed in lieu.",10240,,A bill to declare that the United States holds in trust for the Pueblo of Zia certain public domain lands.,HR,https://api.congress.gov/v3/bill/95/hr/10240?format=json
l000506,95,1977-12-01,1977-12-01,Referred to House Committee on Ways and Means.,10188,,"A bill to amend title XVIII of the Social Security Act to authorize payment under the supplementary medical insurance program for the cutting and removal of corns, warts, and calluses and the reduction of club nails.",HR,https://api.congress.gov/v3/bill/95/hr/10188?format=json
