bioguideId,congress,type,number,introducedDate,actionDate,PolicyArea_name,Latest_Action_text,url,congress_type_number,title
g000280,109,HR,4083,2005-10-19,2005-10-19,Immigration,Referred to the House Committee on Homeland Security.,https://api.congress.gov/v3/bill/109/hr/4083?format=json,109_HR_4083,Border Security Improvement Act
g000280,109,HRES,839,2006-05-24,2006-06-06,Immigration,"Referred to the Subcommittee on Economic Security, Infrastructure Protection, and Cybersecurity.",https://api.congress.gov/v3/bill/109/hres/839?format=json,109_HRES_839,Expressing the sense of the House of Representatives that officers of the Department of Homeland Security should not undermine the efforts of citizen groups such as the Minuteman Project to preserve the integrity of the borders of the United States and protect the Nation from intrusion.
g000280,109,HCONRES,221,2005-07-27,2005-09-14,Immigration,Sponsor introductory remarks on measure. (CR H7943-7944),https://api.congress.gov/v3/bill/109/hconres/221?format=json,109_HCONRES_221,Expressing the sense of the Congress that the President should immediately and unequivocally call for the enforcement of existing immigration laws in order to reduce the threat of a terrorist attack and to reduce the massive influx of illegal aliens into the United States.
g000280,110,HRES,246,2007-03-14,2007-04-20,Immigration,"Referred to the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law.",https://api.congress.gov/v3/bill/110/hres/246?format=json,110_HRES_246,"Expressing the sense of the House of Representatives that States and units of local government should enact legislation to prohibit the issuance of business, professional, or occupational licenses to unauthorized aliens."
g000280,110,HCONRES,119,2007-04-18,2007-05-04,Immigration,"Referred to the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law.",https://api.congress.gov/v3/bill/110/hconres/119?format=json,110_HCONRES_119,Expressing the sense of the Congress that the President should immediately and unequivocally call for the enforcement of existing immigration laws in order to reduce the threat of a terrorist attack and to reduce the massive influx of illegal aliens into the United States.
g000280,108,HR,1606,2003-04-03,2003-05-05,Immigration,"Referred to the Subcommittee on Immigration, Border Security, and Claims.",https://api.congress.gov/v3/bill/108/hr/1606?format=json,108_HR_1606,Wage Equity Act of 2003
c000705,112,S,1979,2011-12-12,2011-12-12,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/112/s/1979?format=json,112_S_1979,Conrad State 30 Improvement Act
c000705,109,S,2425,2006-03-15,2006-03-15,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/2425?format=json,109_S_2425,"A bill to apply amendments to the Immigration and Nationality Act related to providing medical services in underserved areas, and for other purposes."
c000705,111,S,628,2009-03-18,2009-03-18,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/111/s/628?format=json,111_S_628,Conrad State 30 Improvement Act
c000705,110,S,2672,2008-02-27,2008-02-27,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/110/s/2672?format=json,110_S_2672,Conrad State 30 Improvement Act
